,Bipolar Disorder: LogFC,,,,,Schizophrenia: LogFC,,,,,,,,MDD: LogFC,,,Stress,,,,,Therapeutics,,,,,,,,,,,Alcohol,,Abused Substances:,,,,,,,,,,,,SZDB: Genetic Association,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FP,,DLPFC,,,FP,,,,DLPFC,,,,FP,Cortex,DLPFC,,,,,,Antipsychotics,,,,,Mood,,,,,,Cortex,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Pritzker_qPCR_GreyMatter,Iwamoto_Microarray_GreyMatter,Gandal_RNA-Seq_Meta,Lanz_Microarray_GreyMatter,,Pritzker_qPCR_GreyMatter,Pritzker_Microarray_Meta,Iwamoto_Microarray_GreyMatter,Maycox_Microarray,Gandal_RNA-Seq_Meta,Lanz_Microarray_GreyMatter,Narayan_Microarray_GreyMatter,,Iwamoto_Microarray_GreyMatter,Gandal_Microarray_Meta,Pritzker_Microarray,STRESS_ASSOCIATED,Pritzker qPCR_Symptom_Agitated,Drug_Budger_CorticoSteroids,,,DrugBudger_Typical Antipsychotic,Martin_Typical Antipsychotic,DrugBudger_Atypical Antipsychotic,Martin_Atypical Antipsychotic,Pritzker qPCR_Antipsychotics,DrugBudger_Anxiolytic,DrugBudger_SSRIs,Pritzker qPCR_Antidepressants,DrugBudger_Anticonvulsants,Pritzker qPCR_MoodStabilizers,,Gandal_Microarray_Meta_AAD,Pritzker_qPCR_GreyMatter_Alcohol,DrugBudger_Naloxone,Pritzker qPCR_Opioids,Martin_Hallucinogens,Pritzker qPCR_Hallucinogens,DrugBudger_Cigarette Smoke,Pritzker qPCR_Tobacco,Pritzker qPCR_Stimulants,Pritzker qPCR_Depressants,Pritzker qPCR_Cannabinoids,,,,IN_SCHIZ_PGC2_GENE,IN_SCHIZ_CLOZUK_GENE,IN_SCHIZ_CNV_Genes,In_SCHIZ_LinkageAssociation,IN_SCHIZ_ExomeSequencing_Genes,IN_SCHIZ_GWAS_eQTL_Integrative,In_SCHIZ_DiffMethylation,,,,,,Gandal_MicroarrayMeta_BD.beta_log2FC,Gandal_MicroarrayMeta_SCZ.beta_log2FC,,,,,,,FunctionalCategory_Main,FunctionalCategory_Adriana,CellTypeSpecific_Quality.of.Evidence,CellTypeSpecific_Subject.Variable.with.known.relationship,CellTypeSpecific_Cell.type.in.which.the.effect.occurs,CellTypeSpecific_Nature.of.Effect.s.,CellTypeSpecific_DirectionOfEffect,CellTypeSpecific_Quality.of.Evidence2
HTR2B,-0.68,0,NA,-0.08,,-0.98,-0.05,-0.07,-0.06,NA,-0.12,0.04,,-0.15,-0.05,0.02,N,Down,Down (2-/1+),,,Up (1-/6+),N,1-,N,N,N,N,N,N,N,,-0.17,N,1+,Down,N,N,1+,N,N,N,N,,,,N,N,N,N,Y,N,N,,,0,1,,-0.01,-0.01,,,,,,,SEROTONIN,SEROTONIN RECEPTORS ,NA,NA,NA,NA,NA,NA
SST,-0.31,-0.38,-0.35,-0.32,,-0.47,-0.22,-0.55,0.1,-0.23,-0.16,-0.47,,-0.44,-0.25,-0.12,Y,N,Down (2-/1+),,,Up (4+),Up,,Up,N,1+,1+,N,N,N,,-0.04,N,N,Down,Up,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,,,0,0,,-0.4,-0.37,,,,,,,GABA,CORTICAL INTERNEURON MARKER,Strong evidence,Diagnosis/Psychosis,Interneurons (but also found in astrocytes?),Decreased in Schizophrenia,-1,  There is previous evidence that the gene has increased/decreased expression in a particular cell type in the prefrontal cortex in relationship with a particular subject variable. 
DRD4,-0.47,-0.03,NA,0.05,,-0.35,-0.04,0,0.02,NA,0.03,-0.01,,-0.05,0.05,0.01,N,N,N,,,1-/1+,N,,N,N,N,1+,N,1+,N,,0.4,N,N,Down,Down,N,N,N,N,N,N,,,,N,N,N,Y,N,Y,N,,,0,2,,0.05,0,,,,,,,DOPAMINE,DOPAMINE RECEPTORS,NA,NA,NA,NA,NA,NA
BDNF,-0.24,-0.08,-0.18,0,,-0.35,-0.1,-0.09,-0.09,-0.28,-0.09,-0.2,,-0.02,-0.17,0.04,Y,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,N,N,N,Y,N,Y,Y,,,0,3,,-0.22,-0.24,,,,,,,OTHER,OTHER,NA,NA,NA,NA,NA,NA
DRD2,-0.14,0.02,NA,-0.1,,-0.25,-0.04,0.03,-0.04,NA,-0.01,-0.01,,-0.03,0.04,0,Y,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,Y,Y,N,Y,Y,Y,N,,,2,3,,0.03,0,,,,,,,DOPAMINE,DOPAMINE RECEPTORS,NA,NA,NA,NA,NA,NA
DRD3,-0.12,-0.07,NA,-0.09,,-0.31,-0.04,0,-0.06,NA,-0.03,0.02,,-0.03,0.01,0.01,N,,,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,N,N,N,Y,Y,Y,N,,,0,3,,0.02,0.01,,,,,,,DOPAMINE,DOPAMINE RECEPTORS,NA,NA,NA,NA,NA,NA
HOMER1,-0.03,-0.09,-0.14,-0.05,,-0.13,0.04,0.03,-0.01,-0.21,-0.08,-0.1,,0.02,-0.07,0.02,N,,,,,,,,,,,,,,,,-0.17,,,,,,,,,,,,,,N,N,N,N,N,N,N,,,0,0,,-0.2,-0.19,,,,,,,GLUTAMATE,ELEMENTS ON THE GLUTAMATERGIC POSTSYNAPTIC DENSITY (PSD),NA,NA,NA,NA,NA,NA
SLC6A12,-0.01,-0.29,-0.09,-0.05,,-0.07,-0.16,-0.17,-0.11,-0.09,-0.14,-0.08,,0.05,-0.04,0.01,N,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,N,N,N,N,Y,Y,N,,,0,2,,-0.04,-0.06,,,,,,,GABA,ELEMENTS ON THE PRESYNAPTIC GABAERGIC TERMINAL AND GABA TRASPORTERS,NA,NA,NA,NA,NA,NA
